ts_utc,ts_local,decision_date,data_source_klines,data_source_oi,data_source_funding,price_spot,price_mark,ma200d,ma200w,mayer,dist_200w,ssr_like,vol30d,funding,oi_notional,oi_trend_7d,price_trend_7d,atr14,atr60,adaptive_window,ma_adaptive,atr_adaptive,prev_close,z_score,valuation_score,liquidity_score,total_score,mult_raw,safety_vol,safety_oi,safety_funding,safety_score,risk_brake,volatility_edge,final_mult,base_invest,invest_amount,edge_triggered,brake_strength_level,price_30d_forward,price_300d_forward,pnl_30d,pnl_300d
2025-12-06T04:44:13Z,2025-12-06T13:44:13+09:00,2025-12-06,okx,hyperliquid,hyperliquid,89563.9,89524.0,109246.854,56036.89599999999,0.8198304731045162,0.5983023042532549,6.379702690163717,0.5737107833561421,0.21136032,1972840119.428,-0.0032346306036415,-0.0165162296306057,3798.5370930624167,3542.445993851052,28,92564.74285714285,3769.778787395828,90456.0,-0.7960262462020593,2,-1,1,1.2925,0.7,1.0,0.2,0.3083333333333333,-0.2075,0.0,1.2925,30.0,38.775,False,medium,,,,
2025-12-07T18:16:48Z,2025-12-08T03:16:48+09:00,2025-12-07,okx,hyperliquid,hyperliquid,91349.1,91294.0,109050.887,56280.8525,0.8376740667868205,0.6230937511118902,6.500916700237092,0.5770250052840946,-0.04865472,2070556337.3068,-0.0042237702467875,0.0788314617355674,3593.457212788572,3494.77982909632,29,92040.56896551725,3664.304133706105,89554.8,-0.1887040322763463,2,-1,1,1.35,0.7,1.0,1.0,0.75,-0.15,0.0,1.35,30.0,40.5,False,light,,,,
2025-12-08T01:26:55Z,2025-12-08T10:26:55+09:00,2025-12-08,okx,hyperliquid,hyperliquid,90978.1,90935.0,109049.032,56279.044,0.8342861768823405,0.6165537566700672,6.461498047047331,0.5752189947432317,0.18820512,1966510453.9769,-0.0084647539123156,0.0742463424138297,3622.6357842171433,3501.588162429653,29,92027.06896551725,3678.3903406026566,89554.8,-0.2851706503082449,2,-1,1,1.085,0.7,1.0,0.2,0.3083333333333333,-0.415,0.0,1.085,30.0,32.55,False,heavy,,,,
2025-12-09T01:26:29Z,2025-12-09T10:26:29+09:00,2025-12-09,okx,hyperliquid,hyperliquid,90452.6,90402.0,108951.51149999998,56276.28700000001,0.8302096846081849,0.6072950939353904,6.437184424843405,0.5663827560704638,0.0157824,2002963371.28056,-0.0174411942025444,-0.0043754691933945,3520.900947993454,3477.454434932118,30,91940.62666666663,3625.986023888282,89962.0,-0.4103784892890943,2,-1,1,1.3675,0.7,1.0,0.5,0.5583333333333333,-0.1324999999999999,0.0,1.3675,30.0,41.025,False,light,,,,
2025-12-10T01:28:07Z,2025-12-10T10:28:07+09:00,2025-12-10,okx,hyperliquid,binance,92230.1,92197.0,108879.2355,56285.234,0.8470862196676612,0.638619819898057,6.564309415275181,0.575444251562196,,1981264003.61554,-0.0140566261577595,-0.0016226473507764,3561.784538535475,3488.9195693323127,29,91178.04137931034,3646.0362213502376,92706.6,0.2885485927235414,2,-1,1,1.3925,0.7,1.0,0.6,0.6416666666666666,-0.1075,0.0,1.3925,30.0,41.775000000000006,False,light,,,,
2025-12-11T06:34:16Z,2025-12-11T15:34:16+09:00,2025-12-11,okx,hyperliquid,hyperliquid,90242.9,90211.0,108794.7825,56275.1425,0.8294781967140749,0.603601448010549,6.4088876734017965,0.5769534301156416,1.16059e-05,1888929013.0678,-0.0127616248139461,-0.0295571960085576,3705.172895640076,3524.3314789242795,29,90760.50344827583,3713.003394308164,92069.9,-0.1394029019928485,2,-1,1,1.42,0.7,1.0,0.8,0.7333333333333333,-0.08,0.0,1.42,30.0,42.6,False,light,,,,
2025-12-12T06:33:15Z,2025-12-12T15:33:15+09:00,2025-12-12,okx,hyperliquid,hyperliquid,92566.3,92550.0,108705.7505,56286.83050000001,0.8515308488670983,0.6445463206531052,6.57692754432301,0.5896218510306054,1.25e-05,2274158307.597,0.0098086595151822,0.0233295745998054,3751.620155992368,3536.776288663079,28,90216.49285714285,3740.032097389289,89875.1,0.6282852878448364,2,-1,1,1.3299999999999998,0.7,0.8,0.8,0.7166666666666666,-0.17,0.0,1.3299999999999998,30.0,39.9,False,light,,,,
2025-12-13T06:30:25Z,2025-12-13T15:30:25+09:00,2025-12-13,okx,hyperliquid,hyperliquid,90280.4,90239.0,108593.2995,56275.43950000001,0.8313625280351666,0.604259350120224,6.412753621699956,0.5782803137765605,7.4339e-06,2007429072.5792,0.0054940057425855,0.0058380238066588,3568.8829524162,3497.068450035164,29,90128.1793103448,3647.571192421997,89941.4,0.0417320681694782,2,-1,1,1.3299999999999998,0.7,0.8,0.8,0.7166666666666666,-0.17,0.0,1.3299999999999998,30.0,39.9,False,light,,,,
2025-12-14T06:30:14Z,2025-12-14T15:30:14+09:00,2025-12-14,okx,hyperliquid,hyperliquid,90123.6,90077.0,108507.45350000002,56274.656,0.8305752009929898,0.6014953516552818,6.403476186533465,0.5580918256931949,1.25e-05,1949654207.40974,0.0004692322258673,0.0063525349841659,3364.6912436761254,3449.5594411829834,31,90337.55161290323,3548.421088681247,90100.7,-0.0602948769484277,2,-1,1,1.3299999999999998,0.7,0.8,0.8,0.7166666666666666,-0.17,0.0,1.3299999999999998,30.0,39.9,False,light,,,,
2025-12-15T06:35:51Z,2025-12-15T15:35:51+09:00,2025-12-15,okx,hyperliquid,hyperliquid,89575.0,89529.0,108414.679,56525.351,0.8262257549090747,0.584687196369643,6.360670333107693,0.5597436909811516,-6.0018e-06,2071997146.72764,0.0046270894535932,-0.0043118205464528,3374.959724754913,3452.079496723426,31,90069.00967741937,3548.604619026022,89027.7,-0.1392123751321036,2,-1,1,1.42,0.7,0.8,1.0,0.7333333333333333,-0.08,0.0,1.42,30.0,42.6,False,light,,,,
2025-12-16T04:08:35Z,2025-12-16T13:08:35+09:00,2025-12-16,okx,hyperliquid,hyperliquid,85807.5,85796.0,108303.362,56506.51350000001,0.7922884240657275,0.518541751828309,6.09599399924156,0.56239998722711,1.25e-05,2017012439.502,0.0026228473329164,-0.0744186498048683,3344.2631038943,3444.7539473402944,31,89650.01290322581,3530.345678397538,87042.9,-1.0884239825970723,3,-1,2,2.949,0.7,0.8,0.8,0.7166666666666666,-0.051,0.3,2.949,30.0,88.47,True,light,,,,
2025-12-17T04:04:39Z,2025-12-17T13:04:39+09:00,2025-12-17,okx,hyperliquid,hyperliquid,87297.1,87251.0,108227.8835,56513.961500000005,0.8066045198047322,0.5446997110616639,6.201759414422254,0.5628607894828928,8.022e-07,2074182740.44062,0.0018559620835869,-0.0518399607254922,3239.463714785896,3419.90716047594,32,89644.028125,3480.658719124765,87968.9,-0.6742770016791942,2,-1,1,1.449,0.7,0.8,0.8,0.7166666666666666,-0.051,0.0,1.449,30.0,43.47,False,light,,,,
2025-12-18T04:06:04Z,2025-12-18T13:06:04+09:00,2025-12-18,okx,hyperliquid,hyperliquid,86765.9,86729.0,108137.8275,56511.3055,0.8023640016256106,0.5353724220722524,6.161818850163731,0.5621307713108404,1.25e-05,1954528658.94706,-0.0022849980096945,-0.0345935637345605,3393.576619410981,3458.235991437364,31,89250.35806451613,3544.360863036107,87231.9,-0.7009608108548917,2,-1,1,1.42,0.7,1.0,0.8,0.7333333333333333,-0.08,0.0,1.42,30.0,42.6,False,light,,,,
2025-12-19T04:07:36Z,2025-12-19T13:07:36+09:00,2025-12-19,okx,hyperliquid,hyperliquid,86953.8,86932.0,108059.1655,56512.34650000001,0.8046869471706221,0.5386690764999467,6.201648994215618,0.5573424375981394,1.25e-05,1933556305.0536,-0.0136290787948988,-0.0332305256533697,3555.2359731625047,3497.211530424488,30,89086.84666666666,3616.066633218929,88513.7,-0.5898803542698766,2,-1,1,1.42,0.7,1.0,0.8,0.7333333333333333,-0.08,0.0,1.42,30.0,42.6,False,light,,,,
2025-12-20T03:58:16Z,2025-12-20T12:58:16+09:00,2025-12-20,okx,hyperliquid,hyperliquid,88243.7,88183.0,107972.2535,56518.694500000005,0.8172812656910973,0.5613187951466216,6.299332353468461,0.5545416162928851,-1.01605e-05,1993803058.64108,-0.0028038278219544,-0.0206102727281808,3506.0655458746687,3487.584226420667,30,89066.35666666667,3592.2342778969387,87957.9,-0.2290097479801062,2,-1,1,1.425,0.7,1.0,1.0,0.75,-0.075,0.0,1.425,30.0,42.75,False,light,,,,
2025-12-21T04:11:14Z,2025-12-21T13:11:14+09:00,2025-12-21,okx,hyperliquid,hyperliquid,88099.6,88049.0,107885.8945,56517.974,0.8165998011908777,0.5587890677043732,6.279947205626626,0.4803380508618453,1.16742e-05,2037168440.3616,-0.0008815356933729,-0.0104259685468679,3296.618036736316,3439.50995279487,31,89032.95161290323,3494.4140226578224,88175.0,-0.2670981763612893,2,-1,1,1.42,0.7,1.0,0.8,0.7333333333333333,-0.08,0.0,1.42,30.0,42.6,False,light,,,,
2025-12-22T04:14:52Z,2025-12-22T13:14:52+09:00,2025-12-22,okx,hyperliquid,hyperliquid,88787.7,88745.0,107806.9925,56764.963,0.8235801587730963,0.5641285628953903,6.3272325008734525,0.4782456622350634,1.25e-05,2046917689.8713,-0.0019892244714726,0.020045288013152,3248.4525270391,3427.975188641252,32,89024.4,3470.4611341739787,88071.1,-0.0682041927135239,2,-1,1,1.34,0.7,1.0,0.8,0.7333333333333333,-0.16,0.0,1.34,30.0,40.2,False,light,,,,
